Date,Open,High,Low,Close,Adj Close,Volume
14/10/1993,2739.870117,2739.870117,2739.870117,2739.870117,2739.870117,0
15/10/1993,2754.25,2754.25,2754.25,2754.25,2754.25,0
18/10/1993,2749.169922,2749.169922,2749.169922,2749.169922,2749.169922,0
19/10/1993,2733.939941,2733.939941,2733.939941,2733.939941,2733.939941,0
20/10/1993,2730.97998,2730.97998,2730.97998,2730.97998,2730.97998,0
21/10/1993,2727.070068,2727.070068,2727.070068,2727.070068,2727.070068,0
22/10/1993,2718.080078,2718.080078,2718.080078,2718.080078,2718.080078,0
25/10/1993,2720.939941,2720.939941,2720.939941,2720.939941,2720.939941,0
26/10/1993,2720.300049,2720.300049,2720.300049,2720.300049,2720.300049,0
27/10/1993,2722.310059,2722.310059,2722.310059,2722.310059,2722.310059,0
28/10/1993,2738.48999,2738.48999,2738.48999,2738.48999,2738.48999,0
29/10/1993,2742.610107,2742.610107,2742.610107,2742.610107,2742.610107,0
01/11/1993,2748.540039,2748.540039,2748.540039,2748.540039,2748.540039,0
02/11/1993,2743.570068,2743.570068,2743.570068,2743.570068,2743.570068,0
03/11/1993,2712.159912,2712.159912,2712.159912,2712.159912,2712.159912,0
04/11/1993,2680.120117,2680.120117,2680.120117,2680.120117,2680.120117,0
05/11/1993,2687.840088,2687.840088,2687.840088,2687.840088,2687.840088,0
08/11/1993,2693.340088,2693.340088,2693.340088,2693.340088,2693.340088,0
09/11/1993,2695.97998,2695.97998,2695.97998,2695.97998,2695.97998,0
10/11/1993,2712.899902,2712.899902,2712.899902,2712.899902,2712.899902,0
11/11/1993,2707.719971,2707.719971,2707.719971,2707.719971,2707.719971,0
12/11/1993,2723.47998,2723.47998,2723.47998,2723.47998,2723.47998,0
15/11/1993,2713.01001,2713.01001,2713.01001,2713.01001,2713.01001,0
16/11/1993,2725.909912,2725.909912,2725.909912,2725.909912,2725.909912,0
17/11/1993,2715.439941,2715.439941,2715.439941,2715.439941,2715.439941,0
18/11/1993,2708.98999,2708.98999,2708.98999,2708.98999,2708.98999,0
19/11/1993,2701.909912,2701.909912,2701.909912,2701.909912,2701.909912,0
22/11/1993,2677.800049,2677.800049,2677.800049,2677.800049,2677.800049,0
23/11/1993,2688.27002,2688.27002,2688.27002,2688.27002,2688.27002,0
24/11/1993,2697.679932,2697.679932,2697.679932,2697.679932,2697.679932,0
26/11/1993,2702.75,2702.75,2702.75,2702.75,2702.75,0
29/11/1993,2697.040039,2697.040039,2697.040039,2697.040039,2697.040039,0
30/11/1993,2694.080078,2694.080078,2694.080078,2694.080078,2694.080078,0
01/12/1993,2699.159912,2699.159912,2699.159912,2699.159912,2699.159912,0
02/12/1993,2705.179932,2705.179932,2705.179932,2705.179932,2705.179932,0
03/12/1993,2714.699951,2714.699951,2714.699951,2714.699951,2714.699951,0
06/12/1993,2724.320068,2724.320068,2724.320068,2724.320068,2724.320068,0
07/12/1993,2727.810059,2727.810059,2727.810059,2727.810059,2727.810059,0
08/12/1993,2727.709961,2727.709961,2727.709961,2727.709961,2727.709961,0
09/12/1993,2717.449951,2717.449951,2717.449951,2717.449951,2717.449951,0
10/12/1993,2716.709961,2716.709961,2716.709961,2716.709961,2716.709961,0
13/12/1993,2723.689941,2723.689941,2723.689941,2723.689941,2723.689941,0
14/12/1993,2708.879883,2708.879883,2708.879883,2708.879883,2708.879883,0
15/12/1993,2700.850098,2700.850098,2700.850098,2700.850098,2700.850098,0
16/12/1993,2708.459961,2708.459961,2708.459961,2708.459961,2708.459961,0
17/12/1993,2725.800049,2725.800049,2725.800049,2725.800049,2725.800049,0
20/12/1993,2723.689941,2723.689941,2723.689941,2723.689941,2723.689941,0
21/12/1993,2718.929932,2718.929932,2718.929932,2718.929932,2718.929932,0
22/12/1993,2729.610107,2729.610107,2729.610107,2729.610107,2729.610107,0
23/12/1993,2733.199951,2733.199951,2733.199951,2733.199951,2733.199951,0
27/12/1993,2749.909912,2749.909912,2749.909912,2749.909912,2749.909912,0
28/12/1993,2754.459961,2754.459961,2754.459961,2754.459961,2754.459961,0
29/12/1993,2756.25,2756.25,2756.25,2756.25,2756.25,0
30/12/1993,2746.73999,2746.73999,2746.73999,2746.73999,2746.73999,0
31/12/1993,2739.439941,2739.439941,2739.439941,2739.439941,2739.439941,0
03/01/1994,2730.879883,2730.879883,2730.879883,2730.879883,2730.879883,0
04/01/1994,2737.219971,2737.219971,2737.219971,2737.219971,2737.219971,0
05/01/1994,2741.870117,2741.870117,2741.870117,2741.870117,2741.870117,0
06/01/1994,2738.600098,2738.600098,2738.600098,2738.600098,2738.600098,0
07/01/1994,2752.77002,2752.77002,2752.77002,2752.77002,2752.77002,0
10/01/1994,2778.350098,2778.350098,2778.350098,2778.350098,2778.350098,0
11/01/1994,2773.070068,2773.070068,2773.070068,2773.070068,2773.070068,0
12/01/1994,2774.22998,2774.22998,2774.22998,2774.22998,2774.22998,0
13/01/1994,2767.459961,2767.459961,2767.459961,2767.459961,2767.459961,0
14/01/1994,2779.830078,2779.830078,2779.830078,2779.830078,2779.830078,0
17/01/1994,2773.600098,2773.600098,2773.600098,2773.600098,2773.600098,0
18/01/1994,2778.350098,2778.350098,2778.350098,2778.350098,2778.350098,0
19/01/1994,2780.360107,2780.360107,2780.360107,2780.360107,2780.360107,0
20/01/1994,2783.320068,2783.320068,2783.320068,2783.320068,2783.320068,0
21/01/1994,2782.159912,2782.159912,2782.159912,2782.159912,2782.159912,0
24/01/1994,2767.669922,2767.669922,2767.669922,2767.669922,2767.669922,0
25/01/1994,2761.120117,2761.120117,2761.120117,2761.120117,2761.120117,0
26/01/1994,2773.070068,2773.070068,2773.070068,2773.070068,2773.070068,0
27/01/1994,2795.47998,2795.47998,2795.47998,2795.47998,2795.47998,0
28/01/1994,2806.47998,2806.47998,2806.47998,2806.47998,2806.47998,0
31/01/1994,2824.23999,2824.23999,2824.23999,2824.23999,2824.23999,0
01/02/1994,2817.26001,2817.26001,2817.26001,2817.26001,2817.26001,0
02/02/1994,2830.689941,2830.689941,2830.689941,2830.689941,2830.689941,0
03/02/1994,2825.090088,2825.090088,2825.090088,2825.090088,2825.090088,0
04/02/1994,2761.959961,2761.959961,2761.959961,2761.959961,2761.959961,0
07/02/1994,2770.419922,2770.419922,2770.419922,2770.419922,2770.419922,0
08/02/1994,2769.889893,2769.889893,2769.889893,2769.889893,2769.889893,0
09/02/1994,2779.830078,2779.830078,2779.830078,2779.830078,2779.830078,0
10/02/1994,2760.169922,2760.169922,2760.169922,2760.169922,2760.169922,0
11/02/1994,2763.02002,2763.02002,2763.02002,2763.02002,2763.02002,0
14/02/1994,2762.48999,2762.48999,2762.48999,2762.48999,2762.48999,0
15/02/1994,2774.120117,2774.120117,2774.120117,2774.120117,2774.120117,0
16/02/1994,2776.129883,2776.129883,2776.129883,2776.129883,2776.129883,0
17/02/1994,2763.76001,2763.76001,2763.76001,2763.76001,2763.76001,0
18/02/1994,2747.800049,2747.800049,2747.800049,2747.800049,2747.800049,0
22/02/1994,2764.820068,2764.820068,2764.820068,2764.820068,2764.820068,0
23/02/1994,2761.120117,2761.120117,2761.120117,2761.120117,2761.120117,0
24/02/1994,2725.379883,2725.379883,2725.379883,2725.379883,2725.379883,0
25/02/1994,2734.050049,2734.050049,2734.050049,2734.050049,2734.050049,0
28/02/1994,2741.030029,2741.030029,2741.030029,2741.030029,2741.030029,0
01/03/1994,2726.01001,2726.01001,2726.01001,2726.01001,2726.01001,0
02/03/1994,2722.419922,2722.419922,2722.419922,2722.419922,2722.419922,0
03/03/1994,2714.070068,2714.070068,2714.070068,2714.070068,2714.070068,0
04/03/1994,2724.850098,2724.850098,2724.850098,2724.850098,2724.850098,0
07/03/1994,2739.340088,2739.340088,2739.340088,2739.340088,2739.340088,0
08/03/1994,2733.100098,2733.100098,2733.100098,2733.100098,2733.100098,0
09/03/1994,2736.27002,2736.27002,2736.27002,2736.27002,2736.27002,0
10/03/1994,2719.77002,2719.77002,2719.77002,2719.77002,2719.77002,0
11/03/1994,2733.629883,2733.629883,2733.629883,2733.629883,2733.629883,0
14/03/1994,2738.699951,2738.699951,2738.699951,2738.699951,2738.699951,0
15/03/1994,2738.48999,2738.48999,2738.48999,2738.48999,2738.48999,0
16/03/1994,2752.77002,2752.77002,2752.77002,2752.77002,2752.77002,0
17/03/1994,2760.909912,2760.909912,2760.909912,2760.909912,2760.909912,0
18/03/1994,2763.439941,2763.439941,2763.439941,2763.439941,2763.439941,0
21/03/1994,2748.219971,2748.219971,2748.219971,2748.219971,2748.219971,0
22/03/1994,2751.709961,2751.709961,2751.709961,2751.709961,2751.709961,0
23/03/1994,2752.129883,2752.129883,2752.129883,2752.129883,2752.129883,0
24/03/1994,2727.600098,2727.600098,2727.600098,2727.600098,2727.600098,0
25/03/1994,2709.939941,2709.939941,2709.939941,2709.939941,2709.939941,0
28/03/1994,2701.590088,2701.590088,2701.590088,2701.590088,2701.590088,0
29/03/1994,2657.179932,2657.179932,2657.179932,2657.179932,2657.179932,0
30/03/1994,2615.310059,2615.310059,2615.310059,2615.310059,2615.310059,0
31/03/1994,2612.350098,2612.350098,2612.350098,2612.350098,2612.350098,0
04/04/1994,2570.899902,2570.899902,2570.899902,2570.899902,2570.899902,0
05/04/1994,2626.620117,2626.620117,2626.620117,2626.620117,2626.620117,0
06/04/1994,2629.26001,2629.26001,2629.26001,2629.26001,2629.26001,0
07/04/1994,2645.76001,2645.76001,2645.76001,2645.76001,2645.76001,0
08/04/1994,2625.350098,2625.350098,2625.350098,2625.350098,2625.350098,0
11/04/1994,2637.620117,2637.620117,2637.620117,2637.620117,2637.620117,0
12/04/1994,2625.98999,2625.98999,2625.98999,2625.98999,2625.98999,0
13/04/1994,2616.580078,2616.580078,2616.580078,2616.580078,2616.580078,0
14/04/1994,2617.629883,2617.629883,2617.629883,2617.629883,2617.629883,0
15/04/1994,2618.689941,2618.689941,2618.689941,2618.689941,2618.689941,0
18/04/1994,2597.969971,2597.969971,2597.969971,2597.969971,2597.969971,0
19/04/1994,2594.47998,2594.47998,2594.47998,2594.47998,2594.47998,0
20/04/1994,2586.969971,2586.969971,2586.969971,2586.969971,2586.969971,0
21/04/1994,2624.189941,2624.189941,2624.189941,2624.189941,2624.189941,0
22/04/1994,2621.76001,2621.76001,2621.76001,2621.76001,2621.76001,0
25/04/1994,2648.399902,2648.399902,2648.399902,2648.399902,2648.399902,0
26/04/1994,2647.77002,2647.77002,2647.77002,2647.77002,2647.77002,0
28/04/1994,2634.22998,2634.22998,2634.22998,2634.22998,2634.22998,0
29/04/1994,2647.23999,2647.23999,2647.23999,2647.23999,2647.23999,0
02/05/1994,2658.23999,2658.23999,2658.23999,2658.23999,2658.23999,0
03/05/1994,2657.810059,2657.810059,2657.810059,2657.810059,2657.810059,0
04/05/1994,2651.360107,2651.360107,2651.360107,2651.360107,2651.360107,0
05/05/1994,2648.610107,2648.610107,2648.610107,2648.610107,2648.610107,0
06/05/1994,2627.25,2627.25,2627.25,2627.25,2627.25,0
09/05/1994,2594.050049,2594.050049,2594.050049,2594.050049,2594.050049,0
10/05/1994,2611.080078,2611.080078,2611.080078,2611.080078,2611.080078,0
11/05/1994,2585.379883,2585.379883,2585.379883,2585.379883,2585.379883,0
12/05/1994,2596.379883,2596.379883,2596.379883,2596.379883,2596.379883,0
13/05/1994,2598.600098,2598.600098,2598.600098,2598.600098,2598.600098,0
16/05/1994,2598.810059,2598.810059,2598.810059,2598.810059,2598.810059,0
17/05/1994,2623.659912,2623.659912,2623.659912,2623.659912,2623.659912,0
18/05/1994,2651.149902,2651.149902,2651.149902,2651.149902,2651.149902,0
19/05/1994,2666.27002,2666.27002,2666.27002,2666.27002,2666.27002,0
20/05/1994,2660.139893,2660.139893,2660.139893,2660.139893,2660.139893,0
23/05/1994,2651.679932,2651.679932,2651.679932,2651.679932,2651.679932,0
24/05/1994,2658.23999,2658.23999,2658.23999,2658.23999,2658.23999,0
25/05/1994,2665.209961,2665.209961,2665.209961,2665.209961,2665.209961,0
26/05/1994,2671.030029,2671.030029,2671.030029,2671.030029,2671.030029,0
27/05/1994,2672.929932,2672.929932,2672.929932,2672.929932,2672.929932,0
31/05/1994,2667.120117,2667.120117,2667.120117,2667.120117,2667.120117,0
01/06/1994,2673.570068,2673.570068,2673.570068,2673.570068,2673.570068,0
02/06/1994,2676,2676,2676,2676,2676,0
03/06/1994,2689.320068,2689.320068,2689.320068,2689.320068,2689.320068,0
06/06/1994,2687.530029,2687.530029,2687.530029,2687.530029,2687.530029,0
07/06/1994,2682.560059,2682.560059,2682.560059,2682.560059,2682.560059,0
08/06/1994,2676,2676,2676,2676,2676,0
09/06/1994,2676.110107,2676.110107,2676.110107,2676.110107,2676.110107,0
10/06/1994,2681.389893,2681.389893,2681.389893,2681.389893,2681.389893,0
13/06/1994,2683.189941,2683.189941,2683.189941,2683.189941,2683.189941,0
14/06/1994,2697.360107,2697.360107,2697.360107,2697.360107,2697.360107,0
15/06/1994,2687.209961,2687.209961,2687.209961,2687.209961,2687.209961,0
16/06/1994,2696.199951,2696.199951,2696.199951,2696.199951,2696.199951,0
17/06/1994,2678.219971,2678.219971,2678.219971,2678.219971,2678.219971,0
20/06/1994,2658.23999,2658.23999,2658.23999,2658.23999,2658.23999,0
21/06/1994,2633.919922,2633.919922,2633.919922,2633.919922,2633.919922,0
22/06/1994,2643.120117,2643.120117,2643.120117,2643.120117,2643.120117,0
23/06/1994,2625.350098,2625.350098,2625.350098,2625.350098,2625.350098,0
24/06/1994,2585.810059,2585.810059,2585.810059,2585.810059,2585.810059,0
27/06/1994,2605.899902,2605.899902,2605.899902,2605.899902,2605.899902,0
28/06/1994,2599.02002,2599.02002,2599.02002,2599.02002,2599.02002,0
29/06/1994,2608.75,2608.75,2608.75,2608.75,2608.75,0
30/06/1994,2592.26001,2592.26001,2592.26001,2592.26001,2592.26001,0
01/07/1994,2604.72998,2604.72998,2604.72998,2604.72998,2604.72998,0
05/07/1994,2606.530029,2606.530029,2606.530029,2606.530029,2606.530029,0
06/07/1994,2606.850098,2606.850098,2606.850098,2606.850098,2606.850098,0
07/07/1994,2617.73999,2617.73999,2617.73999,2617.73999,2617.73999,0
08/07/1994,2623.449951,2623.449951,2623.449951,2623.449951,2623.449951,0
11/07/1994,2617,2617,2617,2617,2617,0
12/07/1994,2616.679932,2616.679932,2616.679932,2616.679932,2616.679932,0
13/07/1994,2620.699951,2620.699951,2620.699951,2620.699951,2620.699951,0
14/07/1994,2649.350098,2649.350098,2649.350098,2649.350098,2649.350098,0
15/07/1994,2654.639893,2654.639893,2654.639893,2654.639893,2654.639893,0
18/07/1994,2658.659912,2658.659912,2658.659912,2658.659912,2658.659912,0
19/07/1994,2652.840088,2652.840088,2652.840088,2652.840088,2652.840088,0
20/07/1994,2640.26001,2640.26001,2640.26001,2640.26001,2640.26001,0
21/07/1994,2644.070068,2644.070068,2644.070068,2644.070068,2644.070068,0
22/07/1994,2645.969971,2645.969971,2645.969971,2645.969971,2645.969971,0
25/07/1994,2651.050049,2651.050049,2651.050049,2651.050049,2651.050049,0
26/07/1994,2645.969971,2645.969971,2645.969971,2645.969971,2645.969971,0
27/07/1994,2641.73999,2641.73999,2641.73999,2641.73999,2641.73999,0
28/07/1994,2649.780029,2649.780029,2649.780029,2649.780029,2649.780029,0
29/07/1994,2671.139893,2671.139893,2671.139893,2671.139893,2671.139893,0
01/08/1994,2686.26001,2686.26001,2686.26001,2686.26001,2686.26001,0
02/08/1994,2687.310059,2687.310059,2687.310059,2687.310059,2687.310059,0
03/08/1994,2691.860107,2691.860107,2691.860107,2691.860107,2691.860107,0
04/08/1994,2678.01001,2678.01001,2678.01001,2678.01001,2678.01001,0
05/08/1994,2669.870117,2669.870117,2669.870117,2669.870117,2669.870117,0
08/08/1994,2675.050049,2675.050049,2675.050049,2675.050049,2675.050049,0
09/08/1994,2674.72998,2674.72998,2674.72998,2674.72998,2674.72998,0
10/08/1994,2687.840088,2687.840088,2687.840088,2687.840088,2687.840088,0
11/08/1994,2678.429932,2678.429932,2678.429932,2678.429932,2678.429932,0
12/08/1994,2693.870117,2693.870117,2693.870117,2693.870117,2693.870117,0
15/08/1994,2691.22998,2691.22998,2691.22998,2691.22998,2691.22998,0
16/08/1994,2709.52002,2709.52002,2709.52002,2709.52002,2709.52002,0
17/08/1994,2711.100098,2711.100098,2711.100098,2711.100098,2711.100098,0
18/08/1994,2701.47998,2701.47998,2701.47998,2701.47998,2701.47998,0
19/08/1994,2704.870117,2704.870117,2704.870117,2704.870117,2704.870117,0
22/08/1994,2699.159912,2699.159912,2699.159912,2699.159912,2699.159912,0
23/08/1994,2711.530029,2711.530029,2711.530029,2711.530029,2711.530029,0
24/08/1994,2734.469971,2734.469971,2734.469971,2734.469971,2734.469971,0
25/08/1994,2729.929932,2729.929932,2729.929932,2729.929932,2729.929932,0
26/08/1994,2757.840088,2757.840088,2757.840088,2757.840088,2757.840088,0
29/08/1994,2762.699951,2762.699951,2762.699951,2762.699951,2762.699951,0
30/08/1994,2771.370117,2771.370117,2771.370117,2771.370117,2771.370117,0
31/08/1994,2770.209961,2770.209961,2770.209961,2770.209961,2770.209961,0
01/09/1994,2759.530029,2759.530029,2759.530029,2759.530029,2759.530029,0
02/09/1994,2748.429932,2748.429932,2748.429932,2748.429932,2748.429932,0
06/09/1994,2750.330078,2750.330078,2750.330078,2750.330078,2750.330078,0
07/09/1994,2746.840088,2746.840088,2746.840088,2746.840088,2746.840088,0
08/09/1994,2757.840088,2757.840088,2757.840088,2757.840088,2757.840088,0
09/09/1994,2732.040039,2732.040039,2732.040039,2732.040039,2732.040039,0
12/09/1994,2720.830078,2720.830078,2720.830078,2720.830078,2720.830078,0
13/09/1994,2726.330078,2726.330078,2726.330078,2726.330078,2726.330078,0
14/09/1994,2733.100098,2733.100098,2733.100098,2733.100098,2733.100098,0
15/09/1994,2764.179932,2764.179932,2764.179932,2764.179932,2764.179932,0
16/09/1994,2746.73999,2746.73999,2746.73999,2746.73999,2746.73999,0
19/09/1994,2745.26001,2745.26001,2745.26001,2745.26001,2745.26001,0
20/09/1994,2705.919922,2705.919922,2705.919922,2705.919922,2705.919922,0
21/09/1994,2693.22998,2693.22998,2693.22998,2693.22998,2693.22998,0
22/09/1994,2691.22998,2691.22998,2691.22998,2691.22998,2691.22998,0
23/09/1994,2683.719971,2683.719971,2683.719971,2683.719971,2683.719971,0
26/09/1994,2689.850098,2689.850098,2689.850098,2689.850098,2689.850098,0
27/09/1994,2694.929932,2694.929932,2694.929932,2694.929932,2694.929932,0
28/09/1994,2710.790039,2710.790039,2710.790039,2710.790039,2710.790039,0
29/09/1994,2697.889893,2697.889893,2697.889893,2697.889893,2697.889893,0
30/09/1994,2701.800049,2701.800049,2701.800049,2701.800049,2701.800049,0
03/10/1994,2695.669922,2695.669922,2695.669922,2695.669922,2695.669922,0
04/10/1994,2658.870117,2658.870117,2658.870117,2658.870117,2658.870117,0
05/10/1994,2647.23999,2647.23999,2647.23999,2647.23999,2647.23999,0
06/10/1994,2642.689941,2642.689941,2642.689941,2642.689941,2642.689941,0
07/10/1994,2657.5,2657.5,2657.5,2657.5,2657.5,0
10/10/1994,2676.629883,2676.629883,2676.629883,2676.629883,2676.629883,0
11/10/1994,2710.889893,2710.889893,2710.889893,2710.889893,2710.889893,0
12/10/1994,2710.580078,2710.580078,2710.580078,2710.580078,2710.580078,0
13/10/1994,2722,2722,2722,2722,2722,0
14/10/1994,2727.919922,2727.919922,2727.919922,2727.919922,2727.919922,0
17/10/1994,2727.600098,2727.600098,2727.600098,2727.600098,2727.600098,0
18/10/1994,2720.090088,2720.090088,2720.090088,2720.090088,2720.090088,0
19/10/1994,2731.409912,2731.409912,2731.409912,2731.409912,2731.409912,0
20/10/1994,2712.580078,2712.580078,2712.580078,2712.580078,2712.580078,0
21/10/1994,2702.540039,2702.540039,2702.540039,2702.540039,2702.540039,0
24/10/1994,2680.439941,2680.439941,2680.439941,2680.439941,2680.439941,0
25/10/1994,2680.550049,2680.550049,2680.550049,2680.550049,2680.550049,0
26/10/1994,2684.780029,2684.780029,2684.780029,2684.780029,2684.780029,0
27/10/1994,2702.330078,2702.330078,2702.330078,2702.330078,2702.330078,0
28/10/1994,2743.139893,2743.139893,2743.139893,2743.139893,2743.139893,0
31/10/1994,2735.320068,2735.320068,2735.320068,2735.320068,2735.320068,0
01/11/1994,2714.699951,2714.699951,2714.699951,2714.699951,2714.699951,0
02/11/1994,2706.659912,2706.659912,2706.659912,2706.659912,2706.659912,0
03/11/1994,2713.850098,2713.850098,2713.850098,2713.850098,2713.850098,0
04/11/1994,2687.949951,2687.949951,2687.949951,2687.949951,2687.949951,0
